Positionsachse	 Global	
Werteachse	Global	
x(mm)	y(mm)	z(mm)	Wert(MPa)	
2,44929e-016	-5,44197	-37,5	4,80713	
-3,51033	-25,0114	-35,4177	1,48229	
-3,51033	-19,0651	-35,4177	3,11519	
-3,51033	-13,4787	-35,4177	3,98906	
-3,51033	-6,61969	-35,4177	4,74934	
5,65685	-30	38,6569	0,550238	
8	-30	30	2,48133	
8	-30	23,9854	4,32621	
-8	-30	30,3541	2,14897	
-8	-30	23,073	4,21009	
-6,43868	-30	37,748	0,619968	
-8	-33,8099	12,365	5,9271	
8	-33,2576	13,7817	6,02636	
8	-34,0876	-11,5772	5,89526	
-8	-33,1413	-14,0589	5,9457	
-5,32364	-30	-38,9715	0,41733	
-8	-30	-22,7932	4,68142	
-8	-30	-30	2,1273	
8	-30	-22,8219	4,41833	
8	-30	-30,2189	2,01574	
6,43868	-30	-37,748	0,610295	
8	-5,99065	33	4,97723	
8	-12,05	33	4,22664	
8	-18,1094	33	3,44948	
8	-24,2375	33	1,90983	
8	-4,19211	-33	4,94918	
8	-12,0384	-33	4,44495	
8	-18,8685	-33	3,3421	
8	-25,3192	-33	1,67185	
8	18,7905	-33	2,44908	
8	11,9463	-33	4,38916	
8	4,02493	-33	4,88953	
8	20,6542	33	2,28196	
8	12,564	33	4,27637	
8	5,82372	33	4,6601	
12	4,95569	-25,5233	5,25734	
12	16,3719	-20,198	5,09699	
12	23,223	-11,6916	21,935	
12	-23,135	-11,8648	6,53054	
12	-5,42094	-25,4286	5,06783	
0	-26	0	5,81464	
-12	-24,1704	-9,58089	6,14328	
-12	-5,31188	-25,4516	5,43508	
-12	5,00458	-25,5138	5,29777	
-12	13,0288	-22,5	5,56617	
-12	22,525	-12,9856	20,6098	
-12	22,525	12,9856	19,015	
-12	13,0288	22,5	5,00919	
-12	4,37035	25,6301	5,33931	
-12	-6,25801	25,2356	5,31372	
-12	-22,783	12,5275	6,25646	
12	-9,47869	24,2106	5,44034	
12	-24,0102	9,97551	5,93167	
12	22,8656	12,376	19,9798	
12	15,3354	20,9959	5,23107	
12	3,91802	25,7031	5,65477	
-8	20,3857	33	2,36624	
-8	11,5249	33	4,16267	
-8	4,31607	33	4,63406	
-8	-5,55043	33	4,90004	
-8	-10,6959	33	4,5012	
-8	-18,1036	33	3,50791	
-8	-24,1678	33	1,64901	
4,89859e-016	-5,08722	41	5,01071	
